Bookmark
Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Query%20Builder%20for%20Traffic%20Counts%20(1985%20-%20Last%20Calendar%20Year)

ParkName,UnitCode,ParkType,Region,TrafficCounter,Year,Month,TrafficCount,ParkNameTotal,UnitCodeTotal,ParkTypeTotal,RegionType,TrafficCountTotal,YearTotal,TrafficCountTotal
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 121.3 (U.S. 220 LEFT),1989,4,"11,111",Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 121.3 (U.S. 220 LEFT),1989,"164,786"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 121.3 (U.S. 220 LEFT),1989,5,"15,600",Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 121.3 (U.S. 220 LEFT),1989,"164,786"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 121.3 (U.S. 220 LEFT),1989,6,"29,071",Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 121.3 (U.S. 220 LEFT),1989,"164,786"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 121.3 (U.S. 220 LEFT),1989,7,"11,800",Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 121.3 (U.S. 220 LEFT),1989,"164,786"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 121.3 (U.S. 220 LEFT),1989,8,"9,400",Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 121.3 (U.S. 220 LEFT),1989,"164,786"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 121.3 (U.S. 220 LEFT),1989,9,"20,800",Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 121.3 (U.S. 220 LEFT),1989,"164,786"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 121.3 (U.S. 220 LEFT),1989,10,"22,300",Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 121.3 (U.S. 220 LEFT),1989,"164,786"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 121.3 (U.S. 220 LEFT),1989,11,"12,300",Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 121.3 (U.S. 220 LEFT),1989,"164,786"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 121.3 (U.S. 220 LEFT),1989,12,"9,520",Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 121.3 (U.S. 220 LEFT),1989,"164,786"
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 121.5 (U.S. 220 RIGHT),1988,1,"10,029",Blue Ridge PKWY,BLRI,National Parkway,Southeast ,TRAFFIC COUNT AT MP 121.5 (U.S. 220 RIGHT),1988,"246,823"
